"Unique ID","Q2 - Did you switch careers into Data?",Satisfaction_Salary,Satisfaction_WorkLife,Satisfaction_Coworkers,Satisfaction_Management,Satisfaction_Upward,Satisfaction_Learning,"Q7 - How difficult was it for you to break into Data?",Q8_Most_Important_Thing,"Q9 - Male/Female?","Q11 - Which Country do you live in?","Q12 - Highest Level of Education","Q4 - What Industry do you work in?",Current_Role,min_salary,max_salary,avg_salary,Favorite_Language,Clean_Date,Age,"Q10 - Current Age",Age_Brackets,Clean_Ethnicity
62a33b3db4da29969c62df3d,Yes,9.0,9.0,7.0,5.0,5.0,7.0,"Very Difficult","Remote Work",Male,"United States","Not Specified",Healthcare,"Data Analyst",106000,125000,115500.0000,Python,2022-06-10,26,26,26-30,"White / Caucasian"
62a33ba1bae91e4b8b82e35c,No,1.0,2.0,5.0,2.0,1.0,3.0,"Very Difficult","Remote Work",Male,Canada,"Not Specified","Finance / Banking","Data Analyst",41000,65000,53000.0000,R,2022-06-10,36,36,36-40,"Asian / Asian American"
62a33c2cbc6861bf3176bec1,No,0.0,8.0,7.0,5.0,7.0,7.0,Easy,"Good Work/Life Balance",Male,Nigeria,"Not Specified","Energy & Utilities","Data Engineer",0,40000,20000.0000,Python,2022-06-10,23,23,21-25,"Black / African"
62a33c8624a26260273822f9,Yes,10.0,6.0,7.0,10.0,7.0,10.0,"Very Easy","Remote Work",Female,Canada,"Not Specified","Finance / Banking",Other,150000,225000,187500.0000,R,2022-06-10,35,35,31-35,"White / Caucasian"
62a33c91f3072dd892621e03,Yes,1.0,4.0,4.0,4.0,0.0,1.0,Difficult,"Better Salary",Male,"United States","Not Specified",Healthcare,"Data Analyst",41000,65000,53000.0000,R,2022-06-10,44,44,41-50,"Black / African"
62a33cb6cf25554317300177,Yes,2.0,3.0,3.0,3.0,3.0,2.0,Difficult,"Good Work/Life Balance",Male,"Democratic Republic of the Congo","Not Specified","Real Estate","Data Analyst",0,40000,20000.0000,Python,2022-06-10,33,33,31-35,"Black / African"
62a33cb72e54c9003e531c65,Yes,0.0,6.0,6.0,6.0,6.0,5.0,Difficult,"Better Salary",Male,NULL,"Not Specified","Finance / Banking","Data Scientist",0,40000,20000.0000,Python,2022-06-10,24,24,21-25,"Black / African"
62a33cd30f8c8599d5af0f8f,Yes,10.0,5.0,5.0,5.0,5.0,9.0,"Neither easy nor difficult","Remote Work",Male,"United States","Not Specified","Retail / E-Commerce","Data Engineer",125000,150000,137500.0000,SQL,2022-06-10,35,35,31-35,"Asian / Asian American"
62a33cd3cf255543173001d9,Yes,4.0,4.0,4.0,4.0,5.0,5.0,"Neither easy nor difficult","Better Salary",Male,"United States","Not Specified",Healthcare,"Data Analyst",86000,105000,95500.0000,R,2022-06-10,35,35,31-35,"Asian / Asian American"
62a33cd8bc6861bf3176c05f,Yes,2.0,0.0,3.0,3.0,0.0,4.0,"Very Difficult","Better Salary",Male,"United States","Not Specified","Retail / E-Commerce","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,28,28,26-30,"Hispanic / Latino"
62a33ce918134ddc75ce8c30,Yes,10.0,10.0,8.0,8.0,8.0,10.0,"Neither easy nor difficult","Remote Work",Male,Canada,"Not Specified","Logistics & Warehousing","Data Analyst",66000,85000,75500.0000,Python,2022-06-10,37,37,36-40,"White / Caucasian"
62a33cf30a77c1a77f65baa2,Yes,3.0,8.0,10.0,10.0,7.0,8.0,"Neither easy nor difficult","Better Salary",Male,Serbia,"Not Specified","Gaming / iGaming","Data Analyst",0,40000,20000.0000,Python,2022-06-10,32,32,31-35,"White / Caucasian"
62a33d15f408bae018ed370d,Yes,1.0,10.0,9.0,9.0,5.0,10.0,"Neither easy nor difficult","Better Salary",Male,Argentina,"Not Specified","Tech / IT","Data Analyst",0,40000,20000.0000,R,2022-06-10,34,34,31-35,"Hispanic / Latino"
62a33d1ebae91e4b8b82e707,Yes,3.0,10.0,10.0,6.0,7.0,8.0,Easy,"Good Work/Life Balance",Male,"United Kingdom","Not Specified",Education,"Data Scientist",0,40000,20000.0000,Python,2022-06-10,30,30,26-30,"White / Caucasian"
62a33d4624a26260273824c4,No,4.0,5.0,5.0,5.0,4.0,5.0,"Neither easy nor difficult","Good Culture",Male,"United States","Not Specified",Construction,"Data Analyst",41000,65000,53000.0000,R,2022-06-10,31,31,31-35,"White / Caucasian"
62a33d5c0f8c8599d5af107c,Yes,4.0,10.0,7.0,7.0,7.0,5.0,Difficult,"Good Culture",Male,"United States","Not Specified","Finance / Banking","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,29,29,26-30,"White / Caucasian"
62a33d850f8c8599d5af10cb,Yes,1.0,2.0,4.0,2.0,2.0,2.0,"Neither easy nor difficult","Better Salary",Male,Niger,"Not Specified","Tech / IT","Data Analyst",0,40000,20000.0000,Python,2022-06-10,22,22,21-25,"Black / African"
62a33d9bf8f7561645852496,Yes,1.0,3.0,2.0,2.0,4.0,1.0,Difficult,"Better Salary",Male,"United States","Not Specified","Retail / E-Commerce","Student / Job Seeker",0,40000,20000.0000,Python,2022-06-10,23,23,21-25,"Black / African"
62a33dbdd8c00e9f5419cd65,No,7.0,8.0,8.0,6.0,8.0,3.0,"Very Difficult","Better Salary",Female,Canada,"Not Specified","Tech / IT","Student / Job Seeker",41000,65000,53000.0000,R,2022-06-10,26,26,26-30,"Asian / Asian American"
62a33de124a26260273826b2,No,1.0,1.0,1.0,1.0,2.0,0.0,"Very Difficult","Better Salary",Male,Nigeria,"Not Specified","Aviation & Transportation","Data Analyst",0,40000,20000.0000,Python,2022-06-10,28,28,26-30,"Black / African"
62a33dedd8c00e9f5419ce2b,Yes,5.0,5.0,5.0,5.0,5.0,5.0,Easy,"Remote Work",Male,Kenya,"Not Specified","Finance / Banking","Data Analyst",41000,65000,53000.0000,Python,2022-06-10,29,29,26-30,"Black / African"
62a33dfbd8c00e9f5419ceda,Yes,10.0,5.0,10.0,6.0,10.0,10.0,"Neither easy nor difficult","Remote Work",Female,"United States","Not Specified","Tech / IT","Data Analyst",106000,125000,115500.0000,SQL,2022-06-10,31,31,31-35,"White / Caucasian"
62a33e38f3072dd8926221d3,Yes,5.0,6.0,8.0,8.0,7.0,1.0,"Neither easy nor difficult","Remote Work",Male,Azerbaijan,"Not Specified",Healthcare,"Data Analyst",0,40000,20000.0000,Python,2022-06-10,28,28,26-30,"White / Caucasian"
