"Unique ID","Q2 - Did you switch careers into Data?","Q4 - What Industry do you work in?",Satisfaction_Salary,Satisfaction_WorkLife,Satisfaction_Coworkers,Satisfaction_Management,Satisfaction_Upward,Satisfaction_Learning,"Q7 - How difficult was it for you to break into Data?",Q8_Most_Important_Thing,"Q9 - Male/Female?","Q10 - Current Age","Q11 - Which Country do you live in?","Q12 - Highest Level of Education",Current_Role,min_salary,max_salary,avg_salary,Favorite_Language,Clean_Date,Clean_Ethnicity,Age,Age_Brackets
62a33b3db4da29969c62df3d,Yes,Healthcare,9.0,9.0,7.0,5.0,5.0,7.0,"Very Difficult","Remote Work",Male,26,"United States","Not Specified","Data Analyst",106000,125000,115500,Python,2022-06-10,"White / Caucasian",26,26-30
62a33ba1bae91e4b8b82e35c,No,"Finance / Banking",1.0,2.0,5.0,2.0,1.0,3.0,"Very Difficult","Remote Work",Male,36,Canada,"Not Specified","Data Analyst",41000,65000,53000,R,2022-06-10,"Asian / Asian American",36,36-40
62a33c2cbc6861bf3176bec1,No,"Energy / Oil & Gas",0.0,8.0,7.0,5.0,7.0,7.0,Easy,"Good Work/Life Balance",Male,23,Nigeria,"Not Specified","Data Engineer",0,40000,20000,Python,2022-06-10,"Black / African",23,21-25
62a33c8624a26260273822f9,Yes,"Finance / Banking",10.0,6.0,7.0,10.0,7.0,10.0,"Very Easy","Remote Work",Female,35,Canada,"Not Specified",Other,150000,225000,187500,R,2022-06-10,"White / Caucasian",35,31-35
62a33c91f3072dd892621e03,Yes,Healthcare,1.0,4.0,4.0,4.0,0.0,1.0,Difficult,"Better Salary",Male,44,"United States","Not Specified","Data Analyst",41000,65000,53000,R,2022-06-10,"Black / African",44,41-50
62a33cb6cf25554317300177,Yes,"Real Estate",2.0,3.0,3.0,3.0,3.0,2.0,Difficult,"Good Work/Life Balance",Male,33,"Democratic Republic of the Congo","Not Specified","Data Analyst",0,40000,20000,Python,2022-06-10,"Black / African",33,31-35
62a33cb72e54c9003e531c65,Yes,"Finance / Banking",0.0,6.0,6.0,6.0,6.0,5.0,Difficult,"Better Salary",Male,24,NULL,"Not Specified","Data Scientist",0,40000,20000,Python,2022-06-10,"Black / African",24,21-25
62a33cd30f8c8599d5af0f8f,Yes,"Retail / E-Commerce",10.0,5.0,5.0,5.0,5.0,9.0,"Neither easy nor difficult","Remote Work",Male,35,"United States","Not Specified","Data Engineer",125000,150000,137500,SQL,2022-06-10,"Asian / Asian American",35,31-35
62a33cd3cf255543173001d9,Yes,Healthcare,4.0,4.0,4.0,4.0,5.0,5.0,"Neither easy nor difficult","Better Salary",Male,35,"United States","Not Specified","Data Analyst",86000,105000,95500,R,2022-06-10,"Asian / Asian American",35,31-35
62a33cd8bc6861bf3176c05f,Yes,"Retail / E-Commerce",2.0,0.0,3.0,3.0,0.0,4.0,"Very Difficult","Better Salary",Male,28,"United States","Not Specified","Data Analyst",41000,65000,53000,Python,2022-06-10,"Hispanic / Latino",28,26-30
